"booti","stat","value"
"52","pubpar1",NA
"52","pubpar2",0.661506231367685
"52","loglike",-1.81309455956632
"53","pif",0.298312420437028
"53","pia",0.84225234198092
"53","mua",0.671392076216407
"53","siga",2.44746715214175
"53","mub",1.36605136560061
"53","sigb",5.71585781213997
"53","pubpar1",NA
"53","pubpar2",0.665740183749723
"53","loglike",-1.81321243541501
"54","pif",0.41666598164963
"54","pia",0.88291528741671
"54","mua",0.5
"54","siga",2.64607544601986
"54","mub",3.9884293899602
"54","sigb",5.17057142893149
"54","pubpar1",NA
"54","pubpar2",0.666666666666667
"54","loglike",-1.81288922270061
"55","pif",0.402327756587365
"55","pia",0.962381866078554
"55","mua",0.960499172500323
"55","siga",2.61213537269513
"55","mub",9.4095134282036
"55","sigb",3.07232322278291
"55","pubpar1",NA
"55","pubpar2",0.666666666666667
"55","loglike",-1.81237863517624
"56","pif",0.362065556395473
"56","pia",0.847101952187203
"56","mua",0.765907135073895
"56","siga",2.44825789515704
"56","mub",2.32665730636409
"56","sigb",5.54108117933689
"56","pubpar1",NA
"56","pubpar2",0.666666666666667
"56","loglike",-1.81306502761324
"57","pif",0.340419933338587
"57","pia",0.836207903961489
"57","mua",1.32808445297609
"57","siga",2.16360360581006
"57","mub",2.30977751797922
"57","sigb",5.3671586623635
"57","pubpar1",NA
"57","pubpar2",0.666666666666667
"57","loglike",-1.81332022419863
"58","pif",0.324423027201092
"58","pia",0.880883474816018
"58","mua",0.516782452507235
"58","siga",2.58703719673376
"58","mub",4.57500552526067
"58","sigb",4.86063884567763
"58","pubpar1",NA
"58","pubpar2",0.666666666666667
"58","loglike",-1.81294338488279
"59","pif",0.111736719084869
"59","pia",0.835618122380864
"59","mua",1.73113198636716
"59","siga",2.27857216138451
"59","mub",3.80230883214319
"59","sigb",4.85052760999042
"59","pubpar1",NA
"59","pubpar2",0.652016096081747
"59","loglike",-1.80074312528198
"60","pif",0.384704857015317
"60","pia",0.87595781687302
"60","mua",0.5
"60","siga",2.61929695050633
"60","mub",3.15750766334091
"60","sigb",5.48212398389258
"60","pubpar1",NA
